Images,Method_name,Category,Compartment,Fisrt_name,Last_name,Affiliation,Institute_Acronym,Country,Citation,Project,Eq_name,Analysis_date,Categorised_result,Polymer_type_of_particle_original,Eq_specification,Color,Color_original,Shape,Morphology_original,Size_fraction,Size_range_from_μm,Size_range_to_μm,Size_dimension
1eD3Tybd3kil7ETFt7av0Ap6mA-_2UNBa,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Green,Green,Sphere,Sphere,>500 um,500,1000,Nominal
1O7GHapgykFSj0PXDP2tJOm_W2VxdJ0gs,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,White,White,Sphere,Sphere,20-212 um,20,212,Nominal
1MvWkyTNhG0m-jr3jT5F1M1b4YU_DyCxm,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,White,White,Film,Film,20-212 um,20,212,Nominal
1MltVQA9ivdSZ0MCftITJTfkRS4pxX6cJ,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Black,Black,Fiber,Fiber,20-212 um,20,212,Nominal
1OPAeuMF1fF_EgFiJd3ZDU3nPWhKt1D8p,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,White,White,Sphere,Sphere,20-212 um,20,212,Nominal
1O6SHH_lqA0iVrL5BMzcsiACKKaDXFpwY,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Transparent,Clear,Fiber,Fiber,20-212 um,20,212,Nominal
1MoqAU_ZiGw4xLTabDLGeb9-PUVNHAZXc,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Pink,Pink,Fiber,Fiber,20-212 um,20,212,Nominal
1OJEijHLOtqRJiuCh9Y5iXoGXqb6mFv8Z,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,White,White,Sphere,Sphere,20-212 um,20,212,Nominal
1MvR6XXziL8fB-wgA0lUpHSVUQ6NMa0c_,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Transparent,Clear,Fragment,Fragment,20-212 um,20,212,Nominal
1NzA6KA_FKB0JhXkV68nntcDBCTRZC-SW,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Transparent,Clear,Fiber,Fiber,20-212 um,20,212,Nominal
1O86NzA34EtWTMaz5Dr354aDDXTjT_YGh,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,White,White,Sphere,Sphere,20-212 um,20,212,Nominal
1OIRChrfvoEH7pdv8NHL2nAZsMWzAXc_6,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,White,White,Sphere,Sphere,20-212 um,20,212,Nominal
1O6UFwPQUrpXyKaIho5AtGfuBnYGq7Vt-,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Transparent,Clear,Fragment,Fragment,20-212 um,20,212,Nominal
1ORxUyg-QS4VUcDeEFDPmv0fQPzRSdSqc,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Transparent,Clear,Fiber,Fiber,20-212 um,20,212,Nominal
1O2OmIuddWlhnKiCGtBz-hUdJPNxxf7n4,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Green,Green,Fiber,Fiber,20-212 um,20,212,Nominal
1MuwM3n1d0GhLSCcACXT-sMW94kaCaeoe,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Transparent,Clear,Fiber,Fiber,20-212 um,20,212,Nominal
1N5L1edLB_kLEFWAXi_4LjnHMc1dSgFzX,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Green,Green,Sphere,Sphere,20-212 um,20,212,Nominal
1N-JyZy3-zZJdbJJt9mQ-Ojt3IA1EO2iS,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,White,White,Foam,Foam,20-212 um,20,212,Nominal
1sIDGpDhdxWRM4aTYSCecp7xS6YhEh-hx,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Black,Black,Fragment,Fragment,1-20 um,1,20,Nominal
1q1VdU-SKFoLAXP8eDV728VhTTyPdA6sw,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Transparent,Clear,Film,Film,1-20 um,1,20,Nominal
1s1FPyrI7n891cjVvJ7TyoW6sHMa6tUCg,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Blue,Blue,Fiber,Fiber,1-20 um,1,20,Nominal
1roJ3vmVuqEPgYx7vFWkLGO5g8DWmsrDT,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Transparent,Clear,Fiber,Fiber,1-20 um,1,20,Nominal
1q-65LVIA_M1JMDbxBStwqqjik6ULSVug,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Black,Black,Fragment,Fragment,1-20 um,1,20,Nominal
1Mw7G-xzYZMr58mteWndNaEv8E-BHG11e,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,White,White,Foam,Foam,20-212 um,20,212,Nominal
1sQdMADOves0wJDWgCZGs2E47C1tQvWJu,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Black,Black,Fiber,Fiber,1-20 um,1,20,Nominal
1sNdNzninqlp8ylx2rq128x58X6m6PquZ,,,,Charles and Gwen,Moore and Lattin,Moore Institute for Plastic Pollution Research,MIPPR,USA,"Lattin and Moore 2020, Interlab Comparison Study Data, Moore Institute for Plastic Pollution Research",Microplastics Image Explorer,Nikon SMZ1270,2020-01-01,NA,NA,60-80x,Black,Black,Fragment,Fragment,1-20 um,1,20,Nominal
